Straßenname,Hsnr,HsnrZus,Adresse_query,lat,lon,display_name,type,category,distance_m,duration_s,shop_min_distance,shops_500m_count,shops_800m_count
Göttiner Landstraße,44,,"Göttiner Landstraße, 44, brandenburg an der havel",52.38834215,12.5455607997745,"44, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3028.4,2180.4,825.1,0,0
Göttiner Landstraße,43,,"Göttiner Landstraße, 43, brandenburg an der havel",52.3890215,12.544963235566396,"43, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2979.8,2145.4,776.4,0,1
Göttiner Landstraße,42,,"Göttiner Landstraße, 42, brandenburg an der havel",52.38846605,12.545547891117216,"42, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,3014.9,2170.7,811.5,0,0
Göttiner Landstraße,41,,"Göttiner Landstraße, 41, brandenburg an der havel",52.3892306,12.5450805,"41, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,2951.6,2125.1,748.2,0,1
Göttiner Landstraße,40,,"Göttiner Landstraße, 40, brandenburg an der havel",52.38861645,12.5456153,"40, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2998.0,2158.5,794.6,0,1
Göttiner Landstraße,39,A,"Göttiner Landstraße, 39A, brandenburg an der havel",52.38945075,12.54472756063755,"39A, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2922.2,2103.9,718.8,0,1
Göttiner Landstraße,39,B,"Göttiner Landstraße, 39B, brandenburg an der havel",52.389308,12.5450846,"39B, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,2937.7,2115.1,734.4,0,1
Göttiner Landstraße,39,,"Göttiner Landstraße, 39, brandenburg an der havel",52.3895377,12.5448693,"39, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,2922.2,2103.9,718.8,0,1
Göttiner Landstraße,38,,"Göttiner Landstraße, 38, brandenburg an der havel",52.3887952,12.545489,"38, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,2978.5,2144.5,775.1,0,1
Göttiner Landstraße,37,,"Göttiner Landstraße, 37, brandenburg an der havel",52.3896288,12.5450082,"37, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,2901.8,2089.3,698.4,0,1
Göttiner Landstraße,36,,"Göttiner Landstraße, 36, brandenburg an der havel",52.3888723,12.5454895,"36, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,2969.9,2138.3,766.5,0,1
Göttiner Landstraße,35,,"Göttiner Landstraße, 35, brandenburg an der havel",52.3897934,12.544701644972909,"35, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2877.2,2071.6,673.8,0,1
Göttiner Landstraße,34,,"Göttiner Landstraße, 34, brandenburg an der havel",52.389036450000006,12.545579142726568,"34, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2951.4,2125.0,748.0,0,1
Göttiner Landstraße,33,,"Göttiner Landstraße, 33, brandenburg an der havel",52.3898889,12.5451246,"33, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,2877.2,2071.6,673.8,0,1
Göttiner Landstraße,32,,"Göttiner Landstraße, 32, brandenburg an der havel",52.3891986,12.545589000323892,"32, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2933.7,2112.2,730.3,0,1
Göttiner Landstraße,31,,"Göttiner Landstraße, 31, brandenburg an der havel",52.3900098,12.5451942,"31, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,2852.3,2053.6,648.9,0,1
Göttiner Landstraße,30,,"Göttiner Landstraße, 30, brandenburg an der havel",52.3893602,12.5456718747351,"30, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2915.2,2098.9,711.8,0,1
Göttiner Landstraße,29,,"Göttiner Landstraße, 29, brandenburg an der havel",52.3902034,12.5452096,"29, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,2846.6,2049.5,643.2,0,1
Göttiner Landstraße,28,,"Göttiner Landstraße, 28, brandenburg an der havel",52.38954275,12.545657897453374,"28, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2895.1,2084.4,691.7,0,1
Göttiner Landstraße,27,,"Göttiner Landstraße, 27, brandenburg an der havel",52.3902853,12.5452129,"27, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,2820.9,2031.0,617.5,0,1
Göttiner Landstraße,26,,"Göttiner Landstraße, 26, brandenburg an der havel",52.38972015,12.54565974927103,"26, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2875.4,2070.2,672.0,0,1
Göttiner Landstraße,24,,"Göttiner Landstraße, 24, brandenburg an der havel",52.38988535,12.545635478209292,"24, Göttiner Landstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,2856.9,2056.9,653.5,0,1
