Straßenname,Hsnr,HsnrZus,lat,lon,distance,duration_s
Alte Potsdamer Straße,42,A,52.4060177,12.57194905,1347.9,970.5
Alte Potsdamer Straße,42,D,52.4064139,12.5720878,1397.0,1005.8
Alte Potsdamer Straße,42,B,52.4060916,12.571917557233265,1356.3,976.5
Alte Potsdamer Straße,41,,52.40585315,12.572222300000002,1343.1,967.0
Alte Potsdamer Straße,40,,52.4059506,12.572499800000005,1364.0,982.0
Alte Potsdamer Straße,39,,52.40600915,12.572628519137895,1379.2,993.0
Alte Potsdamer Straße,38,,52.4060925,12.57275836857143,1398.5,1006.9
Alte Potsdamer Straße,37,,52.4061139,12.57287552650933,1405.3,1011.8
Alte Potsdamer Straße,36,,52.4062417,12.572988753580889,1420.7,1022.9
Alte Potsdamer Straße,35,,52.40631485,12.573089907123151,1431.3,1030.5
Alte Potsdamer Straße,34,,52.40643635,12.573230838153965,1447.8,1042.4
Alte Potsdamer Straße,33,,52.4078615,12.572297666677894,1515.5,1091.2
Alte Potsdamer Straße,32,A,52.40732135,12.574815241666672,1588.7,1143.8
Alte Potsdamer Straße,32,,52.40746705,12.57524855,1621.7,1167.6
Alte Potsdamer Straße,31,,52.40742704836361,12.576462772243993,1698.8,1223.1
Alte Potsdamer Straße,31,C,52.40742704836361,12.576462772243993,1698.8,1223.1
Alte Potsdamer Straße,29,C,52.40742704836361,12.576462772243993,1698.8,1223.1
Alte Potsdamer Straße,29,B,52.40681225,12.5744491,1559.3,1122.7
Alte Potsdamer Straße,29,A,52.4067239,12.574328399999994,1526.7,1099.2
Alte Potsdamer Straße,29,,52.4066473,12.574223752358485,1515.7,1091.3
Alte Potsdamer Straße,28,,52.40656355,12.57410935636105,1503.6,1082.5
Alte Potsdamer Straße,27,,52.40647465,12.573987998391225,1490.7,1073.3
Alte Potsdamer Straße,25,,52.406354,12.57379875,1472.1,1059.9
Alte Potsdamer Straße,24,,52.4062702,12.573671749999995,1459.5,1050.8
Alte Potsdamer Straße,23,,52.40619055,12.5735609,1447.8,1042.4
Alte Potsdamer Straße,21,,52.40593695,12.573155299999994,1407.7,1013.5
Alte Weinberge,24,,52.43918625,12.63159943229698,6601.9,4753.3
Alte Weinberge,21,,52.44217205,12.633257273815378,6895.7,4964.8
Alte Weinberge,20,,52.4387856,12.632540459047108,6684.5,4812.8
Alte Weinberge,18,F,52.43762165,12.640711390510212,7055.0,5079.6
Alte Weinberge,18,,52.43779465,12.637816699999998,6883.9,4956.4
Alte Weinberge,16,,52.4401163,12.64019875,7216.4,5195.8
Alte Weinberge,15,D,52.4394876,12.63151391409319,6579.7,4737.3
Alte Weinberge,15,C,52.43948655,12.631843003868946,6598.8,4751.1
Alte Weinberge,15,B,52.4395011,12.632059495333207,6631.8,4774.8
Alte Weinberge,15,,52.44002405,12.632101324757096,6670.8,4802.9
Alte Weinberge,15,A,52.4399915,12.633763842038148,6761.6,4868.3
Alte Weinberge,14,,52.44071905,12.639826797071391,7282.1,5243.1
Alte Weinberge,13,A,52.43949565,12.632436674531446,6633.1,4775.8
Alte Weinberge,13,,52.43926845,12.632436017318058,6635.4,4777.4
Alte Weinberge,11,,52.43893945,12.632819967635658,6680.2,4809.7
Alte Weinberge,10,,52.4420615,12.637932253808806,7483.0,5387.7
Alte Weinberge,9,,52.43785255,12.6346773322905,6861.5,4940.3
Alte Weinberge,8,,52.44223885,12.637673101509227,7511.8,5408.5
Alte Weinberge,7,,52.4383617,12.63769237525108,6946.8,5001.7
Alte Weinberge,6,,52.4425309,12.637803361216177,7541.6,5429.9
Alte Weinberge,5,,52.440844850000005,12.638801849999991,7337.7,5283.1
Alte Weinberge,3,,52.44263805,12.637142409449698,7568.7,5449.5
Alte Weinberge,1,,52.4430634,12.636079127529182,7655.3,5511.8
Alte Ziegelei,15,,,,,
Alte Ziegelei,14,,,,,
Alte Ziegelei,13,,,,,
Alte Ziegelei,12,,,,,
Alte Ziegelei,11,,,,,
Alte Ziegelei,10,,,,,
Alte Ziegelei,9,,,,,
Alte Ziegelei,6,,,,,
Alte Ziegelei,5,,,,,
Alte Ziegelei,4,,,,,
Altes Dorf,57,,52.3884768,12.594147790590563,4375.1,3150.0
Altes Dorf,56,,52.38859085,12.59388178845186,4377.0,3151.4
Altes Dorf,55,,52.38868835,12.593769743201754,4379.0,3152.9
Altes Dorf,54,D,52.3884203,12.593430319260907,4413.2,3177.5
Altes Dorf,54,,52.38879,12.59355575437063,4375.0,3149.9
Altes Dorf,54,B,52.38804855,12.593304961036356,4494.4,3235.9
Altes Dorf,54,A,52.38806915,12.59357644321288,4434.0,3192.4
Altes Dorf,53,,52.388880400000005,12.593213193498537,4410.4,3175.4
Altes Dorf,52,,52.38890825,12.593068499882907,4410.8,3175.7
Altes Dorf,51,,52.38889815,12.592616827109572,4424.2,3185.4
Altes Dorf,50,,52.3889249,12.59226718247198,4447.2,3202.0
Altes Dorf,49,,52.3889334,12.592062785633,4461.1,3212.0
Altes Dorf,48,,52.3889691,12.591744550675594,4482.1,3227.1
Altes Dorf,47,,52.3889945,12.59159662537738,4492.5,3234.6
Altes Dorf,46,,52.38905885,12.591197531002264,4520.5,3254.8
Altes Dorf,45,,52.3892286,12.590325334781358,4580.4,3297.8
Altes Dorf,45,B,52.3890497,12.590952516054742,4536.4,3266.2
Altes Dorf,44,,52.3893923,12.589901688970588,4614.1,3322.1
Altes Dorf,43,,52.3894651,12.5896206953471,4634.8,3337.0
Altes Dorf,42,,52.389503950000005,12.589489567081875,4644.7,3344.1
Altes Dorf,41,,52.3894323,12.589107140786847,4664.9,3358.7
Altes Dorf,40,,52.38962505,12.588802165249334,4692.7,3378.7
Altes Dorf,39,,52.3898565,12.58818235,4741.7,3414.0
Altes Dorf,39,A,52.38972135,12.588545000000003,4713.0,3393.3
Altes Dorf,37,,52.39004175,12.587477139065877,4794.1,3451.7
Altes Dorf,36,,52.3901683,12.5869966,4829.6,3477.3
Altes Dorf,35,A,52.3903071,12.58526775644282,4942.9,3558.8
Altes Dorf,35,,52.39059585,12.585297521234944,4954.3,3567.1
Altes Dorf,34,,52.39074925,12.584810448841605,4993.7,3595.4
Altes Dorf,33,,52.3906167,12.584585430276944,5037.3,3626.8
Altes Dorf,32,,52.3909131,12.583688378637316,5071.3,3651.3
Altes Dorf,31,,52.39098455,12.583447891782242,5089.2,3664.2
Altes Dorf,30,,52.39100555,12.58332495821776,5097.9,3670.4
Altes Dorf,29,,52.39102975,12.58318285,5107.9,3677.6
Altes Dorf,28,,52.3910492,12.583046790699337,5117.3,3684.4
Altes Dorf,27,,52.39111605,12.582637049542951,5146.1,3705.2
Altes Dorf,26,,52.39119675,12.5823577,5163.7,3717.8
Altes Dorf,25,B,52.39136005,12.582024554258933,5187.2,3734.8
Altes Dorf,25,A,52.39149025,12.58175381240332,5208.1,3749.8
Altes Dorf,25,,52.3912948,12.582205985195756,5178.6,3728.5
Altes Dorf,24,D,52.39179485,12.581172754696532,5260.1,3787.2
Altes Dorf,24,F,52.39193795,12.581642549999998,5244.9,3776.3
Altes Dorf,24,E,52.39164695,12.581361455699394,5239.8,3772.6
Altes Dorf,24,B,52.39187655,12.58200295,5221.4,3759.4
Altes Dorf,24,C,52.39168365,12.582207591478747,5197.3,3742.0
Altes Dorf,24,,52.3913071,12.582774207874015,5136.7,3698.4
Altes Dorf,24,G,52.39206725,12.581346044058815,5295.8,3813.0
Altes Dorf,23,,52.3912971,12.582934396558915,5125.9,3690.6
Altes Dorf,22,A,52.3912337,12.583359141434071,5096.3,3669.3
Altes Dorf,22,,52.39121235,12.583495520359932,5086.7,3662.4
Altes Dorf,21,,52.3911214,12.584024365954276,5049.4,3635.6
Altes Dorf,21,A,52.39119785,12.5837897,5067.0,3648.2
Altes Dorf,20,,52.390958350000005,12.585017707291785,4979.5,3585.2
Altes Dorf,20,B,52.39104725,12.584565614990089,5011.9,3608.5
Altes Dorf,20,A,52.39106495,12.584682665956391,5004.5,3603.2
Altes Dorf,20,C,52.39150095,12.5847617,5012.0,3608.6
Altes Dorf,19,A,52.39089105,12.585311491964784,4959.6,3570.9
Altes Dorf,19,,52.39080675,12.585690710812964,4932.3,3551.2
Altes Dorf,18,B,52.3906796,12.586667557039585,4866.2,3503.6
Altes Dorf,18,,52.390689,12.58627694395733,4890.9,3521.4
Altes Dorf,18,A,52.39059095,12.586650836881388,4863.3,3501.5
Altes Dorf,17,,52.39052575,12.586904503705956,4844.5,3488.0
Altes Dorf,16,,52.39045575,12.587176715877751,4824.4,3473.6
Altes Dorf,15,,52.39039165,12.587476749999997,4802.9,3458.1
Altes Dorf,14,,52.3902804,12.58785315,4781.4,3442.6
Altes Dorf,13,,52.39022005,12.5880828,4781.8,3442.9
Altes Dorf,12,A,52.39032625,12.58849685,4804.3,3459.0
Altes Dorf,12,,52.39011,12.588498144182084,4727.7,3403.9
Altes Dorf,11,A,52.39003575,12.588716690308704,4710.7,3391.7
Altes Dorf,11,,52.3899759,12.588970702833898,4692.3,3378.4
Altes Dorf,10,,52.3899378,12.589100446235255,4682.6,3371.4
Altes Dorf,9,,52.38974525,12.589669350000005,4638.5,3339.7
Altes Dorf,9,A,52.38977015,12.589595350000003,4644.2,3343.8
Altes Dorf,8,,52.38958255,12.590187690169367,4598.9,3311.2
Altes Dorf,7,E,52.38935255,12.59127515658854,4560.6,3283.6
Altes Dorf,7,D,52.3892871,12.591576617741936,4494.6,3236.1
Altes Dorf,7,A,52.38917165,12.592395376207117,4435.8,3193.8
Altes Dorf,7,,52.38916345,12.592645290794714,4417.4,3180.5
Altes Dorf,6,,52.3891345,12.592806072919052,4406.8,3172.8
Altes Dorf,6,A,52.38954005,12.592654600441335,4451.3,3204.9
Altes Dorf,5,,52.3891349,12.59314907891738,4408.6,3174.2
Altes Dorf,4,,52.38915775,12.593442722799296,4362.0,3140.6
Altes Dorf,3,,52.389187750000005,12.593727094342167,4342.5,3126.5
Altes Dorf,2,,52.3892061,12.593952515996738,4325.2,3114.1
Altes Dorf,1,,52.3892233,12.594187899160003,4309.1,3102.5
Altstädtische Fischerstraße,33,,52.41244519999999,12.555369003999996,135.9,97.8
Altstädtische Fischerstraße,32,,52.412576,12.555485353471592,154.0,110.9
Altstädtische Fischerstraße,31,,52.41266955,12.555584788875334,166.3,119.7
Altstädtische Fischerstraße,29,,52.41281765,12.555693725894104,184.3,132.7
Altstädtische Fischerstraße,28,,52.412879,12.55574351825095,191.9,138.2
Altstädtische Fischerstraße,26,,52.4130404,12.555847378636363,212.4,153.0
Altstädtische Fischerstraße,25,,52.4133067,12.555991594187734,244.4,175.9
Altstädtische Fischerstraße,24,,52.4133067,12.555991594187734,244.4,175.9
Altstädtische Fischerstraße,21,,52.41354305,12.55615369181755,272.7,196.3
Altstädtische Fischerstraße,20,,52.4136095,12.556438802929286,285.2,205.4
Altstädtische Fischerstraße,20,B,52.412820089138826,12.555865586531665,189.9,136.7
Altstädtische Fischerstraße,19,,52.41354075,12.55637672279429,276.8,199.3
Altstädtische Fischerstraße,18,,52.4134811,12.556366841275658,270.3,194.6
Altstädtische Fischerstraße,17,,52.4134186,12.556325693930637,262.8,189.2
Altstädtische Fischerstraße,16,,52.41333305,12.556281462042024,252.8,182.0
Altstädtische Fischerstraße,15,,52.413268900000006,12.556260375,245.6,176.8
Altstädtische Fischerstraße,14,,52.41320565,12.556224715696931,238.2,171.5
Altstädtische Fischerstraße,13,,52.4131029,12.556188999759945,226.5,163.1
Altstädtische Fischerstraße,12,,52.4129978,12.556128532307625,214.8,154.6
Altstädtische Fischerstraße,11,,52.41294845,12.556100733345746,209.0,150.4
Altstädtische Fischerstraße,10,,52.41288255,12.556059385803351,201.1,144.8
Altstädtische Fischerstraße,9,,52.4128025,12.55598637085562,191.9,138.2
Altstädtische Fischerstraße,8,,52.41275015,12.555949852199074,185.6,133.7
Altstädtische Fischerstraße,7,,52.412820089138826,12.555865586531665,189.9,136.7
Altstädtische Fischerstraße,6,,52.4125722,12.555814124935196,163.8,118.0
Altstädtische Fischerstraße,5,,52.412467500000005,12.555737833631838,151.1,108.8
Altstädtische Fischerstraße,4,,52.412388500000006,12.555664685807873,142.5,102.6
Altstädtische Fischerstraße,3,,52.41232305,12.55557593036816,115.2,82.9
Altstädtische Fischerstraße,2,,52.41217675,12.555884878764836,96.7,69.6
Altstädtische Fischerstraße,1,,52.412215,12.55544904428102,116.0,83.6
Altstädtische Große Heidestraße,56,,52.41388625,12.556197773250972,317.7,228.8
Altstädtische Große Heidestraße,55,,52.41395005,12.556224768168882,325.0,234.0
Altstädtische Große Heidestraße,52,,52.414191,12.55631041484782,352.4,253.7
Altstädtische Große Heidestraße,51,,52.41428725,12.556354724852865,363.5,261.7
Altstädtische Große Heidestraße,50,,52.4143588,12.556388931722964,371.8,267.7
Altstädtische Große Heidestraße,49,,52.4144438,12.55645183452821,380.6,274.0
Altstädtische Große Heidestraße,48,,52.4145192,12.55652141577734,390.1,280.9
Altstädtische Große Heidestraße,47,,52.4145961,12.556568899522471,399.2,287.4
Altstädtische Große Heidestraße,46,,52.41463745,12.556621333545303,404.9,291.5
Altstädtische Große Heidestraße,45,,52.414685000000006,12.55663188325687,409.9,295.1
Altstädtische Große Heidestraße,44,,52.414738400000005,12.556680078444176,435.6,313.6
Altstädtische Große Heidestraße,42,,52.41494795,12.556926553341825,444.3,319.9
Altstädtische Große Heidestraße,41,,52.415042,12.55695063584437,454.0,326.8
Altstädtische Große Heidestraße,40,,52.4150726,12.557036576883116,460.0,331.2
Altstädtische Große Heidestraße,39,,52.4151202,12.557104833126434,465.4,335.1
Altstädtische Große Heidestraße,38,,52.41516455,12.557176900490196,472.3,340.1
Altstädtische Große Heidestraße,37,,52.41520815,12.557261931594612,479.8,345.5
Altstädtische Große Heidestraße,36,,52.41525235,12.55732041381015,486.1,350.0
Altstädtische Große Heidestraße,35,,52.4152973,12.557400173199277,493.5,355.3
Altstädtische Große Heidestraße,33,,52.41547625,12.557759337715517,524.4,377.6
Altstädtische Große Heidestraße,32,,52.4155354,12.557815088653406,523.7,377.1
Altstädtische Große Heidestraße,31,,52.41558085,12.55787812275186,517.5,372.6
Altstädtische Große Heidestraße,30,,52.4156667,12.557740143401627,530.9,382.2
Altstädtische Große Heidestraße,30,A,52.41564535,12.558116480535112,511.5,368.3
Altstädtische Große Heidestraße,30,C,52.4155822,12.55849426501305,509.8,367.0
Altstädtische Große Heidestraße,29,A,52.4157953,12.5576501,545.3,392.6
Altstädtische Große Heidestraße,29,,52.4157573,12.5577003,540.0,388.8
Altstädtische Große Heidestraße,26,,52.41526675,12.55760593718658,500.6,360.4
Altstädtische Große Heidestraße,25,,52.41520835,12.557562347491393,493.8,355.6
Altstädtische Große Heidestraße,24,,52.41516115,12.557487066372058,486.5,350.3
Altstädtische Große Heidestraße,23,,52.415108,12.557402077027357,478.3,344.3
Altstädtische Große Heidestraße,22,,52.41504435,12.557333686315786,470.0,338.4
