id,Name_Haltestelle,Kategorie,x,y,Adresse_query,Adresse_merge,lat,lon,display_name,type,category,geometry
496,Technische Hochschule/THB,tram_stop,"332628,4",5809740,"['Tram stop Technische Hochschule/THB, Brandenburg, 14770']",haltestelle technische hochschule/thb,52.4122520,12.5389753,"Technische Hochschule/THB, Magdeburger Straße, Neuendorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",tram_stop,railway,POINT (12.5389753 52.412252)
497,Magdeburger Straße/OLG,tram_stop,"332949,53","5809702,5","['Tram stop Magdeburger Straße/OLG, Brandenburg, 14770']",haltestelle magdeburger straße/olg,52.4119856,12.5438434,"Magdeburger Straße/OLG, Magdeburger Straße, Neuendorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",tram_stop,railway,POINT (12.5438434 52.4119856)
498,Jahrtausendbrücke,tram_stop,"333882,16",5809562,"['Tram stop Jahrtausendbrücke, Brandenburg, 14770']",haltestelle jahrtausendbrücke,52.4110403,12.5575237,"Jahrtausendbrücke, Hauptstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.5575237 52.4110403)
499,Hauptstraße,tram_stop,"334045,72",5809440,"['Tram stop Hauptstraße, Brandenburg, 14770']",haltestelle hauptstraße,52.4101191,12.5597735,"Hauptstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.5597735 52.4101191)
500,Ritterstraße/Museum,tram_stop,"333607,12",5809764,"['Tram stop Ritterstraße/Museum, Brandenburg, 14770']",haltestelle ritterstraße/museum,52.4127647,12.5534941,"Ritterstraße/Museum, Ritterstraße, Altstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",tram_stop,railway,POINT (12.5534941 52.4127647)
501,Neustädtischer Markt,tram_stop,"334172,7","5809235,5","['Tram stop Neustädtischer Markt, Brandenburg, 14770']",haltestelle neustädtischer markt,52.4084643,12.5638264,"Neustädtischer Markt, Sankt-Annen-Straße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.5638264 52.4084643)
502,Kanalstraße,tram_stop,"333422,8",5809124,"['Tram stop Kanalstraße, Brandenburg, 14770']",haltestelle kanalstraße,52.4073046,12.5507299,"Kanalstraße, Bauhofstraße, Ring, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.5507299 52.4073046)
503,Hauptbahnhof,tram_stop,"334419,38","5808499,5","['Tram stop Hauptbahnhof, Brandenburg, 14770']",haltestelle hauptbahnhof,52.4014385,12.5652094,"Hauptbahnhof, Am Hauptbahnhof, Bahnhofsvorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.5652094 52.4014385)
504,Hauptbahnhof,tram_stop,"334414,8","5808506,5","['Tram stop Hauptbahnhof, Brandenburg, 14770']",haltestelle hauptbahnhof,52.4014385,12.5652094,"Hauptbahnhof, Am Hauptbahnhof, Bahnhofsvorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.5652094 52.4014385)
505,Hauptstraße,tram_stop,"334025,12",5809456,"['Tram stop Hauptstraße, Brandenburg, 14770']",haltestelle hauptstraße,52.4101191,12.5597735,"Hauptstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.5597735 52.4101191)
506,Jahrtausendbrücke,tram_stop,"333875,6","5809563,5","['Tram stop Jahrtausendbrücke, Brandenburg, 14770']",haltestelle jahrtausendbrücke,52.4110403,12.5575237,"Jahrtausendbrücke, Hauptstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.5575237 52.4110403)
507,Freiheitsweg,bus_stop,"332802,9",5813840,"['Bus stop Freiheitsweg, Brandenburg, 14770']",haltestelle freiheitsweg,52.4501523,12.5396786,"Freiheitsweg, Chausseestraße, Blumensiedlung, Brielow Ausbau, Brielow, Beetzsee, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.5396786 52.4501523)
508,Busbahnhof,bus_stop,"346304,5",5798767,"['Bus stop Busbahnhof, Brandenburg, 14770']",haltestelle busbahnhof,52.3178522,12.7449407,"Busbahnhof, Goethestraße, Lehnin, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.7449407 52.3178522)
509,Busbahnhof,bus_stop,"346299,06",5798750,"['Bus stop Busbahnhof, Brandenburg, 14770']",haltestelle busbahnhof,52.3178522,12.7449407,"Busbahnhof, Goethestraße, Lehnin, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.7449407 52.3178522)
510,Busbahnhof,bus_stop,"346297,78",5798786,"['Bus stop Busbahnhof, Brandenburg, 14770']",haltestelle busbahnhof,52.3178522,12.7449407,"Busbahnhof, Goethestraße, Lehnin, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.7449407 52.3178522)
511,ZOB,bus_stop,"334536,84",5808519,"['Bus stop ZOB, Brandenburg, 14770']",haltestelle zob,52.4015671,12.5669759,"ZOB, Am Hauptbahnhof, Bahnhofsvorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bus_stop,highway,POINT (12.5669759 52.4015671)
512,ZOB,bus_stop,"334559,2",5808531,"['Bus stop ZOB, Brandenburg, 14770']",haltestelle zob,52.4015671,12.5669759,"ZOB, Am Hauptbahnhof, Bahnhofsvorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bus_stop,highway,POINT (12.5669759 52.4015671)
513,ZOB,bus_stop,"334579,22","5808541,5","['Bus stop ZOB, Brandenburg, 14770']",haltestelle zob,52.4015671,12.5669759,"ZOB, Am Hauptbahnhof, Bahnhofsvorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bus_stop,highway,POINT (12.5669759 52.4015671)
514,Festplatz,bus_stop,"344595,84",5804463,"['Bus stop Festplatz, Brandenburg, 14770']",haltestelle festplatz,52.3683698,12.7173655,"Festplatz, Schenkenberger Straße, Trechwitz, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.7173655 52.3683698)
515,Festplatz,bus_stop,"344587,88","5804385,5","['Bus stop Festplatz, Brandenburg, 14770']",haltestelle festplatz,52.3683698,12.7173655,"Festplatz, Schenkenberger Straße, Trechwitz, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.7173655 52.3683698)
516,Paterdamm,bus_stop,"336438,62",5803905,"['Bus stop Paterdamm, Brandenburg, 14770']",haltestelle paterdamm,52.3609839,12.5979327,"Paterdamm, B 102, Prützke, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.5979327 52.3609839)
517,Paterdamm,bus_stop,"336433,5",5803885,"['Bus stop Paterdamm, Brandenburg, 14770']",haltestelle paterdamm,52.3609839,12.5979327,"Paterdamm, B 102, Prützke, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.5979327 52.3609839)
518,Neustädtischer Markt,bus_stop,"334172,22",5809236,"['Bus stop Neustädtischer Markt, Brandenburg, 14770']",haltestelle neustädtischer markt,52.4084643,12.5638264,"Neustädtischer Markt, Sankt-Annen-Straße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bus_stop,highway,POINT (12.5638264 52.4084643)
519,Lindenstraße,bus_stop,"344602,16",5810560,"['Bus stop Lindenstraße, Brandenburg, 14770']",haltestelle lindenstraße,52.4231278,12.7145498,"Lindenstraße, Havelstraße, Götz, Groß Kreutz (Havel), Potsdam-Mittelmark, Brandenburg, 14550, Deutschland",bus_stop,highway,POINT (12.7145498 52.4231278)
520,Lindenstraße,bus_stop,"344596,72","5810558,5","['Bus stop Lindenstraße, Brandenburg, 14770']",haltestelle lindenstraße,52.4231278,12.7145498,"Lindenstraße, Havelstraße, Götz, Groß Kreutz (Havel), Potsdam-Mittelmark, Brandenburg, 14550, Deutschland",bus_stop,highway,POINT (12.7145498 52.4231278)
521,Am Walde,bus_stop,"347941,9",5812477,"['Bus stop Am Walde, Brandenburg, 14770']",haltestelle am walde,52.4411317,12.7623555,"Am Walde, Götzer Straße, Deetz, Groß Kreutz (Havel), Potsdam-Mittelmark, Brandenburg, 14550, Deutschland",bus_stop,highway,POINT (12.7623555 52.4411317)
522,Am Walde,bus_stop,"347908,94",5812459,"['Bus stop Am Walde, Brandenburg, 14770']",haltestelle am walde,52.4411317,12.7623555,"Am Walde, Götzer Straße, Deetz, Groß Kreutz (Havel), Potsdam-Mittelmark, Brandenburg, 14550, Deutschland",bus_stop,highway,POINT (12.7623555 52.4411317)
523,Kaltenhausener Weg,bus_stop,"328192,53","5811294,5","['Bus stop Kaltenhausener Weg, Brandenburg, 14770']",haltestelle kaltenhausener weg,52.4248325,12.4731651,"Kaltenhausener Weg, Anton-Saefkow-Allee, Heidekrug, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",bus_stop,highway,POINT (12.4731651 52.4248325)
524,Oskar Campus,bus_stop,"332769,6","5811768,5","['Bus stop Oskar Campus, Brandenburg, 14770']",haltestelle oskar campus,52.4303979,12.5401201,"Oskar Campus, Upstallstraße, Industriegebiet Nord, Nord, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",bus_stop,highway,POINT (12.5401201 52.4303979)
525,Oskar Campus,bus_stop,"332765,38",5811756,"['Bus stop Oskar Campus, Brandenburg, 14770']",haltestelle oskar campus,52.4303979,12.5401201,"Oskar Campus, Upstallstraße, Industriegebiet Nord, Nord, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",bus_stop,highway,POINT (12.5401201 52.4303979)
526,Gollwitz (bei Jeserig),bus_stop,"339768,16",5810263,"['Bus stop Gollwitz (bei Jeserig), Brandenburg, 14770']",haltestelle gollwitz (bei jeserig),52.4190829,12.6437442,"Gollwitz (bei Jeserig), Schlossallee, Gollwitz, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bus_stop,highway,POINT (12.6437442 52.4190829)
527,"Gollwitz, Am Schloss",bus_stop,"339883,28",5810502,"['Bus stop Gollwitz Am Schloss, Brandenburg, 14770']","haltestelle gollwitz, am schloss",52.4212610,12.6453213,"Gollwitz, Am Schloss, Schlossallee, Gollwitz, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bus_stop,highway,POINT (12.6453213 52.421261)
528,"Gollwitz, Sommerweg",bus_stop,"339685,6",5809967,"['Bus stop Gollwitz Sommerweg, Brandenburg, 14770']","haltestelle gollwitz, sommerweg",52.4163962,12.6426732,"Gollwitz, Sommerweg, Schlossallee, Gollwitz, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bus_stop,highway,POINT (12.6426732 52.4163962)
529,"Gollwitz, Sommerweg",bus_stop,"339695,06","5809966,5","['Bus stop Gollwitz Sommerweg, Brandenburg, 14770']","haltestelle gollwitz, sommerweg",52.4163962,12.6426732,"Gollwitz, Sommerweg, Schlossallee, Gollwitz, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bus_stop,highway,POINT (12.6426732 52.4163962)
530,"Wust, Heininge",bus_stop,"337027,9",5809653,"['Bus stop Wust Heininge, Brandenburg, 14770']","haltestelle wust, heininge",52.4127935,12.6037830,"Wust, Heininge, Wuster Straße, Wust, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bus_stop,highway,POINT (12.603783 52.4127935)
